"CityName","CountryName"
"Port Brandon","Faroe Islands"
"Lake Matthewberg","Holy See (Vatican City State)"
"West Trevorside","Trinidad and Tobago"
"West Jenna","United States Virgin Islands"
"Jacksonchester","Wallis and Futuna"
"New Brianbury","Singapore"
"Kingbury","French Guiana"
"Staceyberg","Colombia"
"Espinozahaven","Tanzania"
"Washingtonberg","Cuba"
"Teresaborough","Togo"
"East Kristentown","Guinea-Bissau"
"South Maxwellbury","San Marino"
"West Robert","Bouvet Island (Bouvetoya)"
"Hillchester","Suriname"
"Andersonstad","Bolivia"
"Mitchellbury","Korea"
"North Heatherton","Central African Republic"
"Dicksontown","Reunion"
"Courtneyshire","Botswana"
"Port Nicholasburgh","South Africa"
"South Catherinestad","Turkey"
"Lake Shannonland","Puerto Rico"
"Williamburgh","Canada"
"New Brooke","Tunisia"
"Stoneland","Saint Barthelemy"
"Lake Janet","Finland"
"West Lindahaven","Oman"
"Lisamouth","Poland"
"North Angelica","Finland"
"Chadtown","Kenya"
"Scottmouth","Hungary"
"Diazhaven","Poland"
"Youngville","Malaysia"
"Morristown","Ireland"
"Trujillotown","Andorra"
"Kellyfort","Kenya"
"Rittermouth","Jamaica"
"Fitzgeraldville","Antarctica (the territory South of 60 deg S)"
"Amandaville","Lesotho"
"North Olivia","Armenia"
"West Kevin","Saint Pierre and Miquelon"
"Port Michael","Congo"
"Rogersport","Macao"
"Lake Joshua","Thailand"
"Hahnborough","Comoros"
"West Jennifer","Portugal"
"West Shawn","United Arab Emirates"
"Joseton","Bolivia"
"Caseyview","Svalbard & Jan Mayen Islands"
"Evanschester","Guyana"
"Kristinshire","Cambodia"
"Hallshire","Palestinian Territory"
"Port Pennyton","South Africa"
"Abigailport","Nauru"
"Dustinberg","Uganda"
"Dawnfort","Northern Mariana Islands"
"New Joeberg","Nepal"
"Cruzshire","Burundi"
"Gutierrezchester","Macao"
"South Ana","Switzerland"
"Lake Michael","Guyana"
"Traceyberg","Christmas Island"
"South Carl","Kiribati"
"Anthonyburgh","Germany"
"Smithview","Azerbaijan"
"Robertochester","Korea"
"West Nancy","Lesotho"
"South Lisaburgh","Peru"
"Priceburgh","Paraguay"
"New Alyssahaven","Nicaragua"
"Johnsonfurt","Hungary"
"Mcguireburgh","French Polynesia"
"South Kara","Japan"
"Martinezshire","Hungary"
"West Crystalstad","Lebanon"
"Cooktown","Hong Kong"
"Stewartfort","Iraq"
"New Martinfort","Algeria"
"Lindashire","Egypt"
"Hillburgh","Sao Tome and Principe"
"East Alicia","Lesotho"
"Jacobside","Ukraine"
"Hermanside","Belize"
"Port Omarland","Macedonia"
"West Sharonberg","Aruba"
"Michaelfort","Solomon Islands"
"Duffyborough","Burkina Faso"
"Marshfort","Barbados"
"Martinezmouth","Jordan"
"West Amberside","Puerto Rico"
"Darrellburgh","Korea"
"Jenniferbury","Spain"
"North Jamesland","Jersey"
"Allisonburgh","Mauritius"
"Emmachester","Haiti"
"Lisaberg","Timor-Leste"
